product_id,category,subcategory,brand_name,product_name,short_name,search_keywords,fake_price_inr,original_category,availability_status,one_line_description,estimated_calories
NC001,Chips & Namkeen,Potato Chips,BhookBoss,BhookBoss 3AM Decision Making Chips,Decision Chips,spicy chips midnight bad decision,50,snack,available,Potato Chips made for because your sleep schedule was becoming too peaceful,385
NC002,Chips & Namkeen,Bhujia,Namkeen Nonsense,Namkeen Nonsense Family Argument Survival Bhujia,Argument Bhujia,bhujia family argument namkeen,67,snack,available,Bhujia made for crunch through the tension before uncle starts again,434
NC003,Chips & Namkeen,Corn Puffs,Crunch Committee,Crunch Committee Office Pantry Cheese Puffs,Pantry Puffs,cheese puffs office stress,84,snack,available,Corn Puffs made for for when the meeting could have been a snack,472
NC004,Chips & Namkeen,Masala Mix,Desi Dynamics,Desi Dynamics Doomscroll Masala Mix,Doom Mix,masala mix reels scrolling,101,snack,available,Masala Mix made for one handful per unnecessary reel,510
NC005,Chips & Namkeen,Nachos,Midnight Mandali,Midnight Mandali Group Chat Screenshot Nachos,Chat Nachos,nachos gossip group chat,118,snack,available,Nachos made for crunch before you type something risky,560
NC006,Chips & Namkeen,Peanuts,BhookBoss,BhookBoss Auto Ride Peanut Masala,Auto Peanuts,peanut masala traffic hunger,40,snack,available,Peanuts made for for traffic jams that become personality tests,598
NC007,Chips & Namkeen,Sev,Namkeen Nonsense,Namkeen Nonsense Aunty Visit Emergency Sev,Emergency Sev,sev family guest snack,57,snack,available,"Sev made for looks polite, behaves chaotic",643
NC008,Chips & Namkeen,Banana Chips,Crunch Committee,Crunch Committee Kerala Trip Cancelled Banana Chips,Trip Chips,banana chips travel craving,74,snack,available,Banana Chips made for vacation mood without booking tickets,695
NC009,Chips & Namkeen,Mixture,Desi Dynamics,Desi Dynamics Salary Over Mixture,Salary Mixture,mixture salary month end,91,snack,available,Mixture made for month-end crunch with actual crunch,723
NC010,Chips & Namkeen,Makhana,Midnight Mandali,Midnight Mandali Wellness Pretence Peri Makhana,Pretence Makhana,makhana healthy spicy snack,108,snack,available,Makhana made for for pretending this was a balanced choice,777
NC011,Chips & Namkeen,Papdi,BhookBoss,BhookBoss Shaadi Buffet Papdi Bites,Shaadi Papdi,papdi wedding snack,125,snack,available,Papdi made for wedding starter energy at home,394
NC012,Chips & Namkeen,Chakli,Namkeen Nonsense,Namkeen Nonsense Deadline Spiral Chakli,Spiral Chakli,chakli deadline snack,47,snack,available,Chakli made for your task list now has texture,434
NC013,Chips & Namkeen,Khurma,Crunch Committee,Crunch Committee Hostel Cupboard Khurma,Cupboard Khurma,hostel sweet snack,64,snack,available,Khurma made for found in every room during exam season,477
NC014,Chips & Namkeen,Chana,Desi Dynamics,Desi Dynamics Protein Drama Masala Chana,Drama Chana,chana protein spicy,81,snack,available,Chana made for gym bro approved until packet three,524
NC015,Chips & Namkeen,Wafer Chips,Midnight Mandali,Midnight Mandali Soft Launch Salted Wafers,Launch Wafers,wafer chips startup stress,98,snack,available,Wafer Chips made for for founders avoiding user feedback,566
NC016,Cold Drinks,Cola,MoodFuel,MoodFuel Fake Energy Cola Zero Sleep,Energy Cola,cola caffeine midnight,46,drink,available,Cola made for fuel your bad decisions,27
NC017,Cold Drinks,Lemon Soda,Fizz Logic,Fizz Logic Panic Lemon Soda,Panic Soda,lemon soda anxiety fizz,63,drink,available,Lemon Soda made for hydration but make it nervous,59
NC018,Cold Drinks,Iced Tea,Chill Pending,Chill Pending Passive Aggressive Peach Tea,Peach Tea,iced tea peach office,80,drink,available,Iced Tea made for best served with unread emails,114
NC019,Cold Drinks,Energy Drink,Office Escape,Office Escape Deadline Extension Energy Drink,Deadline Drink,energy drink deadline work,97,drink,available,Energy Drink made for scientifically unproven but emotionally necessary,160
NC020,Cold Drinks,Cold Coffee,Sleep Later Co,Sleep Later Co Standup Call Cold Coffee,Standup Coffee,cold coffee corporate morning,114,drink,available,Cold Coffee made for for surviving cameras-off meetings,196
NC021,Cold Drinks,Mango Drink,MoodFuel,MoodFuel Summer Internship Mango Drink,Intern Mango,mango drink internship,131,drink,available,Mango Drink made for tastes like unpaid learning,244
NC022,Cold Drinks,Jeera Soda,Fizz Logic,Fizz Logic Gaslight Jeera Soda,Jeera Soda,jeera soda digestion spicy,148,drink,available,Jeera Soda made for for snacks that deny involvement,16
NC023,Cold Drinks,Tonic Water,Chill Pending,Chill Pending Salary Day Luxury Water,Luxury Water,premium water salary day,50,drink,available,Tonic Water made for water with confidence problems,63
NC024,Cold Drinks,Orange Drink,Office Escape,Office Escape Gym Tomorrow Orange Drink,Gym Orange,orange drink gym tomorrow,67,drink,available,Orange Drink made for for people starting fitness monday,108
NC025,Cold Drinks,Mocktail,Sleep Later Co,Sleep Later Co Rooftop Plan Cancelled Mocktail,Cancelled Mocktail,mocktail weekend plan,84,drink,available,Mocktail made for night-out aesthetic without leaving bed,157
NC026,Cold Drinks,Coconut Water,MoodFuel,MoodFuel Hangover Negotiation Coconut Water,Negotiation Water,coconut water hangover,101,drink,available,Coconut Water made for peace treaty with last night,203
NC027,Cold Drinks,Masala Soda,Fizz Logic,Fizz Logic College Fest Masala Soda,Fest Soda,masala soda college fest,118,drink,available,Masala Soda made for tastes like loud speakers and dust,236
NC028,Cold Drinks,Rose Milk,Chill Pending,Chill Pending Nostalgia Rose Milk,Rose Milk,rose milk childhood,135,drink,available,Rose Milk made for childhood sweetness with adult bills,13
NC029,Cold Drinks,Lassi,Office Escape,Office Escape Nap Required Sweet Lassi,Nap Lassi,lassi sleep afternoon,37,drink,available,Lassi made for this drink has logged you out,61
NC030,Cold Drinks,Sparkling Water,Sleep Later Co,Sleep Later Co Influencer Sparkling Water,Sparkle Water,sparkling water aesthetic,54,drink,available,Sparkling Water made for for people who call bubbles a lifestyle,106
NC031,Chocolate,Chocolate Bar,Emotional Damage,Emotional Damage Adulting Failure Chocolate,Failure Bar,chocolate adulting rent stress,54,chocolate,available,Chocolate Bar made for for when life admin wins,206
